owner_mid,fan
297011,7
402910058,4
328593259,5
21937244,0
386519895,1
387247112,4193
21572576,190
21611521,1902
333147836,271
28489981,41911
332848005,57075
20295127,1157
380545164,0
39280919,3966
395399825,4
4824372,22
305740528,8445
252628631,3
308716264,3
345872392,29
386600000,3
386600180,4
386599545,3
386599705,5
2744052,7
368068311,85
386599870,4
386600686,3
121374372,117
222712093,93152
393063041,1696
386600851,3
76707611,249
363911078,0
382508636,57
18698687,90401
117659482,3
96108814,102
403021512,0
141383269,9
356436770,44
8112659,184893
79223495,331
6436760,1034
378243406,138
319362601,7883
292570738,7
153196602,9075
5065662,580
244589025,1548
403535576,0
17276644,0
85992022,850
150585797,137
343198,85
369070575,160
21672808,4532
44065261,98
14294167,3
19045713,0
62505695,13
44727377,3
252014285,9
271810922,29
2175556,124
69199183,42
105468454,27113
70758274,346
265538192,3572
